"Compressive
strength tests","Elastic
modulus tests","Flexural
strength tests","Splitting
tensile strength tests","Effective
water- to-cement ratio","Aggregate-
to-cement ratio (a/c)","RCA
replacement ratio (RCA %)","Parent
concrete strength(MPa)","Nominal
maximum RCA size(mm)","Nominal
maximum NA size(mm)","Bulk
density of RCA (kg/m3)","Bulk
density of NA (kg/m3)","Water
absorption of RCA(WARCA) (%)","Water
absorption of NA","Los
Angeles abrasion of RCA","Los
Angeles abrasion of NA","Density of
hardened
concrete
AD (qad)
(kg/m3)","Density of
hardened
concrete
SSD (qSSD)
(kg/m3)","Compressive
strength (f’c) (MPa)"
C1,C1,,C1,0.45,2.5,100,,20,20,2580,,3.5,,,,,,52.1
S1,,,,0.47,3.8,0,,20,25,,2610,,1,,,,,53.1
S1,,,,0.55,4.03,0,,,,2214,2687,2.7,1.2,,,,,25
S1,,,,0.47,3.5,100,,20,25,2273,,3.6,,,,,,41.6
S1,C2,,,0.48,2.8,100,,19,25,2390,,4.4,,,,,,27.2
C1,C1,,C1,0.7,2.3,100,,19,19,2320,,5.3,,37,,,2300,65.1
S1,,,,0.57,2.8,20,,20,20,2330,2620,6.3,1.3,,,,,43
C1,,,,0.41,,75,,,,2460,2670,5.1,0.5,,,,,35.6
S2,,,,0.45,3.2,25,,15,20,,2670,,0.5,,,,,60.7
S2,C2,,C2,0.57,3.5,30,37.3,12,20,2010,2720,10.9,0.6,,,2362,,38.6
C2,C2,,C2,0.57,3.3,50,,20,20,2320,2540,5.3,1.8,42,31,,,44
C2,C2,,C2,0.47,2.5,0,38.4,20,20,,2590,,0.9,,,,,39
C2,,,,0.45,2.1,0,,19,25,2500,,3.3,0.9,,,,2322,34.1
C2,C2,,C2,0.53,2.7,0,,20,19,,2540,,1.8,,31,,,45
S1,C2,B2,,0.39,2.6,30,,20,30,2400,2610,4.9,2.5,,,,,60.8
C2,,,,0.65,3.2,50,,20,19,2300,2500,5.2,1.7,40.2,,,2330,40.8
C2,C2,B2,,0.53,6.5,0,,32,15,,2650,,0.2,,,,,39.3
C1,C1,,C1,0.45,2.7,50,,20,20,2580,2620,3.5,1.1,,,,,56.8
